Quarter,Total Revenue,Gaming,Data Center,Pro Viz,Automotive,OEM & Other
FY2024,,,,,,
Q4 FY24,"$22,103","$2,857","$18,404",$463,$281,$90
Q3 FY24,"$18,120","$2,856","$14,514",$416,$261,$73
Q2 FY24,"$13,507","$2,486","$10,323",$379,$253,$66
Q1 FY24,"$7,192","$2,240","$4,284",$295,$296,$87
FY2023,,,,,,
Q4 FY23,"$6,051","$1,831","$3,616",$226,$294,$84
Q3 FY23,"$5,931","$1,567","$3,833",$200,$251,$79
Q2 FY23,"$6,704","$2,042","$3,806",$496,$220,$140
Q1 FY23,"$8,288","$3,620","$3,750",$622,$138,$158
FY2022,,,,,,
Q4 FY22,"$7,643","$3,420","$3,263",$643,$125,$192
Q3 FY22,"$7,103","$3,221","$2,936",$577,$135,$234
Q2 FY22,"$6,507","$3,061","$2,366",$519,$152,$409
Q1 FY22,"$5,661","$2,760","$2,048",$372,$154,$327
FY2021,,,,,,
Q4 FY21,"$5,003","$2,495","$1,903",$307,$145,$153
Q3 FY21,"$4,726","$2,272","$1,900",$236,$125,$194
Q2 FY21,"$3,866","$1,654","$1,752",$203,$111,$146
Q1 FY21,"$3,080","$1,339","$1,141",$307,$155,$138
FY2020,,,,,,
Q4 FY20,"$3,105","$1,491",$968,$331,$163,$152
Q3 FY20,"$3,014","$1,655",$792,$324,$162,$91
Q2 FY20,"$2,579","$1,313",$655,$281,$208,$122
Q1 FY20,"$2,220","$1,055",$561,$266,$166,$172
FY2019,,,,,,
Q4 FY19,"$2,205",$954,$679,$293,$163,$116
Q3 FY19,"$3,181","$1,764",$701,$311,$172,$233
Q2 FY19,"$3,123","$1,805",$760,$289,$148,$121
Q1 FY19,"$3,207","$1,536",$792,$231,$158,$490
FY2018,,,,,,
Q4 FY18,"$2,911","$1,736",$606,$279,$128,$162
Q3 FY18,"$2,636","$1,561",$501,$239,$133,$202
Q2 FY18,"$2,230","$1,186",$416,$220,$152,$256
Q1 FY18,"$1,937","$1,027",$409,$197,$145,$159
FY2017,,,,,,
Q4 FY17,"$2,173","$1,348",$296,$221,$128,$180
Q3 FY17,"$2,004","$1,244",$240,$207,$127,$186
Q2 FY17,"$1,428",$781,$151,$209,$119,$168
Q1 FY17,"$1,305",$680,$143,$198,$113,$175
FY2016,,,,,,
Q4 FY16,"$1,401",$954,$97,$181,$93,$76
Q3 FY16,"$1,305",$761,$82,$200,$79,$183
Q2 FY16,"$1,153",$587,$80,$203,$71,$212
Q1 FY16,"$1,151",$535,$80,$197,$77,$262
FY2015,,,,,,
Q4 FY15,"$1,251",$761,$84,$177,$86,$143
Q3 FY15,"$1,225",$764,$87,$190,$78,$106
Q2 FY15,"$1,123",$663,$77,$182,$69,$132
Q1 FY15,"$1,083",$570,$71,$190,$66,$186
FY2014,,,,,,
Q4 FY14,"$1,144",$583,$45,$204,$50,$262
Q3 FY14,"$1,054",$550,$38,$205,$47,$214
Q2 FY14,$977,$491,$33,$185,$44,$224
Q1 FY14,$955,$438,$28,$185,$40,$264